"","Cell","Cell_type"
"270","C_270","Macrophage"
"271","C_271","Macrophage"
"272","C_272","Macrophage"
"273","C_273","Macrophage"
"274","C_274","Macrophage"
"275","C_275","Macrophage"
"276","C_276","Macrophage"
"277","C_277","Macrophage"
"278","C_278","Macrophage"
"279","C_279","Macrophage"
"280","C_280","Macrophage"
"281","C_281","Macrophage"
"282","C_282","Macrophage"
"283","C_283","Macrophage"
"284","C_284","Macrophage"
"285","C_285","Macrophage"
"286","C_286","Macrophage"
"287","C_287","Macrophage"
"288","C_288","Macrophage"
"289","C_289","Macrophage"
"290","C_290","Macrophage"
"291","C_291","Macrophage"
"292","C_292","Macrophage"
"293","C_293","Macrophage"
"294","C_294","Macrophage"
"295","C_295","Macrophage"
"296","C_296","Macrophage"
"297","C_297","Macrophage"
"298","C_298","Macrophage"
"299","C_299","Macrophage"
"300","C_300","Macrophage"
"301","C_301","Macrophage"
"302","C_302","Macrophage"
"303","C_303","Macrophage"
"304","C_304","Macrophage"
"305","C_305","Macrophage"
"306","C_306","Macrophage"
"307","C_307","Macrophage"
"308","C_308","Macrophage"
"309","C_309","Macrophage"
"310","C_310","Macrophage"
"311","C_311","Macrophage"
"312","C_312","Macrophage"
"313","C_313","Macrophage"
"314","C_314","Macrophage"
"315","C_315","Macrophage"
"316","C_316","Macrophage"
"317","C_317","Macrophage"
"318","C_318","Macrophage"
"319","C_319","Macrophage"
"320","C_320","Macrophage"
"321","C_321","Stromal cell"
"322","C_322","Macrophage"
"323","C_323","Macrophage"
"324","C_324","Macrophage"
"325","C_325","Macrophage"
"326","C_326","Macrophage"
"327","C_327","Macrophage"
"328","C_328","Monocyte"
"329","C_329","Macrophage"
"330","C_330","Macrophage"
"331","C_331","Macrophage"
"332","C_332","Macrophage"
"333","C_333","Macrophage"
"334","C_334","Macrophage"
"335","C_335","Macrophage"
"336","C_336","Macrophage"
"337","C_337","Macrophage"
"338","C_338","Macrophage"
"339","C_339","Macrophage"
"340","C_340","Macrophage"
"341","C_341","Macrophage"
"342","C_342","Macrophage"
"343","C_343","Macrophage"
"344","C_344","Macrophage"
"345","C_345","Macrophage"
"346","C_346","Macrophage"
"347","C_347","Macrophage"
"348","C_348","Macrophage"
"349","C_349","Macrophage"
"350","C_350","Macrophage"
"351","C_351","Macrophage"
"352","C_352","Macrophage"
"353","C_353","Macrophage"
"354","C_354","Macrophage"
"355","C_355","Macrophage"
"356","C_356","Macrophage"
"357","C_357","Macrophage"
"358","C_358","Macrophage"
"359","C_359","Macrophage"
"360","C_360","Macrophage"
"361","C_361","Macrophage"
"362","C_362","Macrophage"
"363","C_363","Macrophage"
"364","C_364","Macrophage"
"365","C_365","Macrophage"
"366","C_366","Macrophage"
"367","C_367","Macrophage"
"368","C_368","Macrophage"
"369","C_369","Macrophage"
"370","C_370","Macrophage"
"371","C_371","Macrophage"
"372","C_372","Macrophage"
"373","C_373","Macrophage"
"374","C_374","Macrophage"
"375","C_375","Macrophage"
"376","C_376","Macrophage"
"377","C_377","Macrophage"
"378","C_378","Macrophage"
"379","C_379","Macrophage"
"380","C_380","Macrophage"
"381","C_381","Macrophage"
"382","C_382","Macrophage"
"383","C_383","Macrophage"
"384","C_384","Macrophage"
"385","C_385","Macrophage"
"386","C_386","Macrophage"
"387","C_387","Macrophage"
"388","C_388","Macrophage"
"389","C_389","Macrophage"
"390","C_390","Macrophage"
"391","C_391","Macrophage"
"392","C_392","Macrophage"
"393","C_393","Macrophage"
"394","C_394","Macrophage"
"395","C_395","Macrophage"
"396","C_396","Macrophage"
"397","C_397","Macrophage"
"398","C_398","Macrophage"
"399","C_399","Macrophage"
"400","C_400","Macrophage"
"401","C_401","Macrophage"
"402","C_402","Macrophage"
"403","C_403","Macrophage"
"404","C_404","Macrophage"
"405","C_405","Macrophage"
"406","C_406","Macrophage"
"407","C_407","Macrophage"
"408","C_408","Macrophage"
"409","C_409","Macrophage"
"410","C_410","Macrophage"
"411","C_411","Macrophage"
"412","C_412","Macrophage"
"413","C_413","Macrophage"
"414","C_414","Macrophage"
"415","C_415","Macrophage"
"416","C_416","Macrophage"
"417","C_417","Macrophage"
"418","C_418","Macrophage"
"419","C_419","Macrophage"
"420","C_420","Macrophage"
"421","C_421","Macrophage"
"422","C_422","Macrophage"
"423","C_423","Macrophage"
"424","C_424","Macrophage"
"425","C_425","Macrophage"
"426","C_426","Macrophage"
"427","C_427","Macrophage"
"428","C_428","Macrophage"
"429","C_429","Macrophage"
"430","C_430","Macrophage"
"431","C_431","Macrophage"
"432","C_432","Macrophage"
"433","C_433","Macrophage"
"434","C_434","Macrophage"
"435","C_435","Macrophage"
"436","C_436","Macrophage"
"437","C_437","Macrophage"
"438","C_438","Macrophage"
"439","C_439","Macrophage"
"440","C_440","Macrophage"
"441","C_441","Macrophage"
"442","C_442","Macrophage"
"443","C_443","Macrophage"
"444","C_444","Macrophage"
"445","C_445","Macrophage"
"446","C_446","Macrophage"
"447","C_447","Macrophage"
"448","C_448","Macrophage"
"449","C_449","Macrophage"
"450","C_450","Macrophage"
"451","C_451","Macrophage"
"452","C_452","Macrophage"
"453","C_453","Macrophage"
"454","C_454","Macrophage"
"455","C_455","Macrophage"
"456","C_456","Macrophage"
"457","C_457","Macrophage"
"458","C_458","Macrophage"
"459","C_459","Macrophage"
"460","C_460","Macrophage"
"461","C_461","Macrophage"
"462","C_462","Macrophage"
"463","C_463","Macrophage"
"464","C_464","Macrophage"
"465","C_465","Macrophage"
"466","C_466","Macrophage"
"467","C_467","Macrophage"
"468","C_468","Macrophage"
"469","C_469","Monocyte"
"470","C_470","Macrophage"
"471","C_471","Macrophage"
"472","C_472","Macrophage"
"473","C_473","Macrophage"
"474","C_474","Macrophage"
"475","C_475","Macrophage"
"476","C_476","Macrophage"
"477","C_477","Macrophage"
"478","C_478","Macrophage"
"479","C_479","Monocyte"
"480","C_480","Macrophage"
"481","C_481","Macrophage"
"482","C_482","Macrophage"
"483","C_483","Macrophage"
"484","C_484","Macrophage"
"485","C_485","Macrophage"
"486","C_486","Macrophage"
"487","C_487","Macrophage"
"488","C_488","Monocyte"
"489","C_489","Macrophage"
"490","C_490","Macrophage"
"491","C_491","Macrophage"
"492","C_492","Macrophage"
"493","C_493","Macrophage"
"494","C_494","Macrophage"
"495","C_495","Macrophage"
"496","C_496","Macrophage"
"497","C_497","Macrophage"
"498","C_498","Macrophage"
"499","C_499","Macrophage"
"500","C_500","Macrophage"
"501","C_501","Macrophage"
"502","C_502","Macrophage"
"503","C_503","Macrophage"
"504","C_504","Macrophage"
"505","C_505","Macrophage"
"506","C_506","Macrophage"
"507","C_507","Monocyte"
"508","C_508","Macrophage"
"509","C_509","Macrophage"
"510","C_510","Macrophage"
"511","C_511","Macrophage"
"512","C_512","Macrophage"
"513","C_513","Macrophage"
"514","C_514","Macrophage"
"515","C_515","Macrophage"
"516","C_516","Macrophage"
"517","C_517","Macrophage"
"518","C_518","Macrophage"
"519","C_519","Macrophage"
"520","C_520","Macrophage"
"521","C_521","Macrophage"
"522","C_522","Macrophage"
"523","C_523","Macrophage"
"524","C_524","Macrophage"
"525","C_525","Macrophage"
"526","C_526","Macrophage"
"527","C_527","Macrophage"
"528","C_528","Macrophage"
"529","C_529","Macrophage"
"530","C_530","Macrophage"
"531","C_531","Macrophage"
"532","C_532","Macrophage"
"533","C_533","Macrophage"
"534","C_534","Macrophage"
"535","C_535","Macrophage"
"536","C_536","Macrophage"
"537","C_537","Macrophage"
"538","C_538","Macrophage"
"539","C_539","Macrophage"
"540","C_540","Macrophage"
"541","C_541","Macrophage"
"542","C_542","Macrophage"
"543","C_543","Macrophage"
"544","C_544","Macrophage"
"545","C_545","Macrophage"
"546","C_546","Macrophage"
"547","C_547","Macrophage"
"548","C_548","Macrophage"
"549","C_549","Macrophage"
"550","C_550","Macrophage"
"551","C_551","Macrophage"
"552","C_552","Macrophage"
"553","C_553","Macrophage"
"554","C_554","Macrophage"
"555","C_555","Macrophage"
"556","C_556","Macrophage"
"557","C_557","Macrophage"
"558","C_558","Macrophage"
"559","C_559","Macrophage"
"560","C_560","Endothelial cell (APC)"
"561","C_561","Macrophage"
"562","C_562","Macrophage"
"563","C_563","Macrophage"
"564","C_564","Macrophage"
"565","C_565","Macrophage"
"566","C_566","Macrophage"
"567","C_567","Macrophage"
"568","C_568","Macrophage"
"569","C_569","Macrophage"
"570","C_570","Macrophage"
"571","C_571","Macrophage"
"572","C_572","Macrophage"
"573","C_573","Macrophage"
"574","C_574","Macrophage"
"575","C_575","Macrophage"
"576","C_576","Macrophage"
"577","C_577","Macrophage"
"578","C_578","Macrophage"
"579","C_579","Macrophage"
"580","C_580","Macrophage"
"581","C_581","Macrophage"
"582","C_582","Macrophage"
"583","C_583","Macrophage"
"584","C_584","Macrophage"
"585","C_585","Macrophage"
"586","C_586","Macrophage"
"587","C_587","Macrophage"
"588","C_588","Macrophage"
"589","C_589","Macrophage"
"590","C_590","Macrophage"
"591","C_591","Macrophage"
"592","C_592","Macrophage"
"593","C_593","Macrophage"
"594","C_594","Macrophage"
"595","C_595","Macrophage"
"596","C_596","Macrophage"
"597","C_597","Macrophage"
"598","C_598","Macrophage"
"599","C_599","Macrophage"
"600","C_600","Macrophage"
"601","C_601","Macrophage"
"602","C_602","Macrophage"
"603","C_603","Macrophage"
"604","C_604","Macrophage"
"605","C_605","Macrophage"
"606","C_606","Macrophage"
"607","C_607","Macrophage"
"608","C_608","Macrophage"
"609","C_609","Macrophage"
"610","C_610","Macrophage"
"611","C_611","Macrophage"
"612","C_612","Macrophage"
"613","C_613","Macrophage"
"614","C_614","Macrophage"
"615","C_615","Macrophage"
"616","C_616","Macrophage"
"617","C_617","Macrophage"
"618","C_618","Macrophage"
"619","C_619","Macrophage"
"620","C_620","Macrophage"
"621","C_621","Macrophage"
"622","C_622","Macrophage"
"623","C_623","Macrophage"
"624","C_624","Macrophage"
"625","C_625","Macrophage"
"626","C_626","Macrophage"
"627","C_627","Monocyte"
"628","C_628","Macrophage"
"629","C_629","Macrophage"
"630","C_630","Macrophage"
"631","C_631","Macrophage"
"632","C_632","Macrophage"
"633","C_633","Macrophage"
"634","C_634","Macrophage"
"635","C_635","Macrophage"
"636","C_636","Macrophage"
"637","C_637","Macrophage"
"638","C_638","Macrophage"
"639","C_639","Macrophage"
"640","C_640","Macrophage"
"641","C_641","Macrophage"
"642","C_642","Macrophage"
"643","C_643","Macrophage"
"644","C_644","Macrophage"
"645","C_645","Macrophage"
"646","C_646","Macrophage"
"647","C_647","Macrophage"
"648","C_648","Macrophage"
"649","C_649","Macrophage"
"650","C_650","Macrophage"
"651","C_651","Macrophage"
"652","C_652","Macrophage"
"653","C_653","Macrophage"
"654","C_654","Macrophage"
"655","C_655","Macrophage"
"656","C_656","Macrophage"
"657","C_657","Macrophage"
"658","C_658","Macrophage"
"659","C_659","Macrophage"
"660","C_660","Macrophage"
"661","C_661","Macrophage"
"662","C_662","Macrophage"
"663","C_663","Macrophage"
"664","C_664","Macrophage"
"665","C_665","Macrophage"
"666","C_666","Macrophage"
"667","C_667","Macrophage"
"668","C_668","Macrophage"
"669","C_669","Macrophage"
"670","C_670","Macrophage"
"671","C_671","Macrophage"
"672","C_672","Macrophage"
"673","C_673","Macrophage"
"674","C_674","Macrophage"
"675","C_675","Macrophage"
"676","C_676","Macrophage"
"677","C_677","Macrophage"
"678","C_678","Macrophage"
"679","C_679","Macrophage"
"680","C_680","Macrophage"
"681","C_681","Macrophage"
"682","C_682","Macrophage"
"683","C_683","Macrophage"
"684","C_684","Stromal cell"
"685","C_685","Stromal cell"
"686","C_686","Stromal cell"
"687","C_687","Macrophage"
"688","C_688","Stromal cell"
"689","C_689","Macrophage"
"690","C_690","Stromal cell"
"691","C_691","Stromal cell"
"692","C_692","Macrophage"
"693","C_693","Macrophage"
"694","C_694","Fibroblast"
"695","C_695","Stromal cell"
"696","C_696","Stromal cell"
"697","C_697","Macrophage"
"698","C_698","Stromal cell"
"699","C_699","Macrophage"
"700","C_700","Stromal cell"
"701","C_701","Macrophage"
"702","C_702","Stromal cell"
"703","C_703","Stromal cell"
"704","C_704","Macrophage"
"705","C_705","Stromal cell"
"706","C_706","Stromal cell"
"707","C_707","Macrophage"
"708","C_708","Stromal cell"
"709","C_709","Fibroblast"
"710","C_710","Macrophage"
"711","C_711","Macrophage"
"712","C_712","Macrophage"
"713","C_713","Stromal cell"
"714","C_714","Stromal cell"
"715","C_715","Stromal cell"
"716","C_716","Stromal cell"
"717","C_717","Stromal cell"
"718","C_718","Stromal cell"
"719","C_719","Stromal cell"
"720","C_720","Macrophage"
"721","C_721","Stromal cell"
"722","C_722","Fibroblast"
"723","C_723","Stromal cell"
"724","C_724","Stromal cell"
"725","C_725","Stromal cell"
"726","C_726","Stromal cell"
"727","C_727","Macrophage"
"728","C_728","Epithelial cell"
"729","C_729","Macrophage"
"730","C_730","Stromal cell"
"731","C_731","Stromal cell"
"732","C_732","Stromal cell"
"733","C_733","Stromal cell"
"734","C_734","Stromal cell"
"735","C_735","Macrophage"
"736","C_736","Fibroblast"
"737","C_737","Fibroblast"
"738","C_738","Stromal cell"
"739","C_739","Macrophage"
"740","C_740","Fibroblast"
"741","C_741","Stromal cell"
"742","C_742","Stromal cell"
"743","C_743","Macrophage"
"744","C_744","Stromal cell"
"745","C_745","Stromal cell"
"746","C_746","Stromal cell"
"747","C_747","Stromal cell"
"748","C_748","Stromal cell"
"749","C_749","Stromal cell"
"750","C_750","Stromal cell"
"751","C_751","Stromal cell"
"752","C_752","Stromal cell"
"753","C_753","Macrophage"
"754","C_754","Stromal cell"
"755","C_755","Fibroblast"
"756","C_756","Stromal cell"
"757","C_757","Macrophage"
"758","C_758","Stromal cell"
"759","C_759","Stromal cell"
"760","C_760","Fibroblast"
"761","C_761","Fibroblast"
"762","C_762","Macrophage"
"763","C_763","Stromal cell"
"764","C_764","Stromal cell"
"765","C_765","Stromal cell"
"766","C_766","Stromal cell"
"767","C_767","Stromal cell"
"768","C_768","Macrophage"
"769","C_769","Fibroblast"
"770","C_770","Macrophage"
"771","C_771","Macrophage"
"772","C_772","Stromal cell"
"773","C_773","Fibroblast"
"774","C_774","Macrophage"
"775","C_775","Stromal cell"
"776","C_776","Stromal cell"
"777","C_777","Fibroblast"
"778","C_778","Macrophage"
"779","C_779","Stromal cell"
"780","C_780","Fibroblast"
"781","C_781","Macrophage"
"782","C_782","Stromal cell"
"783","C_783","Stromal cell"
"784","C_784","Macrophage"
"785","C_785","Stromal cell"
"786","C_786","Macrophage"
"787","C_787","Stromal cell"
"788","C_788","Macrophage"
"789","C_789","Fibroblast"
"790","C_790","Macrophage"
"791","C_791","Stromal cell"
"792","C_792","Stromal cell"
"793","C_793","Stromal cell"
"794","C_794","Stromal cell"
"795","C_795","Stromal cell"
"796","C_796","Macrophage"
"797","C_797","Macrophage"
"798","C_798","Macrophage"
"799","C_799","Macrophage"
"800","C_800","Stromal cell"
"801","C_801","Macrophage"
"802","C_802","Macrophage"
"803","C_803","Stromal cell"
"804","C_804","Macrophage"
"805","C_805","Macrophage"
"806","C_806","Stromal cell"
"807","C_807","Macrophage"
"808","C_808","Stromal cell"
"809","C_809","Macrophage"
"810","C_810","Stromal cell"
"811","C_811","Fibroblast"
"812","C_812","Macrophage"
"813","C_813","Macrophage"
"814","C_814","Stromal cell"
"815","C_815","Stromal cell"
"816","C_816","Fibroblast"
"817","C_817","Macrophage"
"818","C_818","Macrophage"
"819","C_819","Stromal cell"
"820","C_820","Stromal cell"
"821","C_821","Macrophage"
"822","C_822","Stromal cell"
"823","C_823","Stromal cell"
"824","C_824","Macrophage"
"825","C_825","Macrophage"
"826","C_826","Fibroblast"
"827","C_827","Stromal cell"
"828","C_828","Stromal cell"
"829","C_829","Macrophage"
"830","C_830","Fibroblast"
"831","C_831","Stromal cell"
"832","C_832","Stromal cell"
"833","C_833","Macrophage"
"834","C_834","Stromal cell"
"835","C_835","Macrophage"
"836","C_836","Macrophage"
"837","C_837","Macrophage"
"838","C_838","Macrophage"
"839","C_839","Stromal cell"
"840","C_840","Fibroblast"
"841","C_841","Stromal cell"
"842","C_842","Stromal cell"
"843","C_843","Macrophage"
"844","C_844","Stromal cell"
"845","C_845","Macrophage"
"846","C_846","Macrophage"
"847","C_847","Stromal cell"
"848","C_848","Macrophage"
"849","C_849","Macrophage"
"850","C_850","Macrophage"
"851","C_851","Macrophage"
"852","C_852","Macrophage"
"853","C_853","Stromal cell"
"854","C_854","Stromal cell"
"855","C_855","Macrophage"
"856","C_856","Macrophage"
"857","C_857","Fibroblast"
"858","C_858","Macrophage"
"859","C_859","Stromal cell"
"860","C_860","Stromal cell"
"861","C_861","Macrophage"
"862","C_862","Macrophage"
"863","C_863","Macrophage"
"864","C_864","Fibroblast"
"865","C_865","Stromal cell"
"866","C_866","Macrophage"
"867","C_867","Stromal cell"
"868","C_868","Fibroblast"
"869","C_869","Stromal cell"
"870","C_870","Stromal cell"
"871","C_871","Stromal cell"
"872","C_872","Macrophage"
"873","C_873","Macrophage"
"874","C_874","Macrophage"
"875","C_875","Macrophage"
"876","C_876","Stromal cell"
"877","C_877","Macrophage"
"878","C_878","Fibroblast"
"879","C_879","Fibroblast"
"880","C_880","Macrophage"
"881","C_881","Stromal cell"
"882","C_882","Macrophage"
"883","C_883","Stromal cell"
"884","C_884","Stromal cell"
"885","C_885","Macrophage"
"886","C_886","Stromal cell"
"887","C_887","Stromal cell"
"888","C_888","Macrophage"
"889","C_889","Macrophage"
"890","C_890","Stromal cell"
"891","C_891","Macrophage"
"892","C_892","Stromal cell"
"893","C_893","Stromal cell"
"894","C_894","Stromal cell"
"895","C_895","Macrophage"
"896","C_896","Fibroblast"
"897","C_897","Stromal cell"
"898","C_898","Stromal cell"
"899","C_899","Macrophage"
"900","C_900","Macrophage"
"901","C_901","Endothelial cell (endothelial to mesenchymal transition)"
"902","C_902","Macrophage"
"903","C_903","Fibroblast"
"904","C_904","Macrophage"
"905","C_905","Macrophage"
"906","C_906","Stromal cell"
"907","C_907","Macrophage"
"908","C_908","Macrophage"
"909","C_909","Stromal cell"
"910","C_910","Fibroblast"
"911","C_911","Stromal cell"
"912","C_912","Macrophage"
"913","C_913","Macrophage"
"914","C_914","Stromal cell"
"915","C_915","Macrophage"
"916","C_916","Macrophage"
"917","C_917","Stromal cell"
"918","C_918","Macrophage"
"919","C_919","Fibroblast"
"920","C_920","Fibroblast"
"921","C_921","Fibroblast"
"922","C_922","Fibroblast"
"923","C_923","Macrophage"
"924","C_924","Stromal cell"
"925","C_925","Macrophage"
"926","C_926","Stromal cell"
"927","C_927","Stromal cell"
"928","C_928","Macrophage"
"929","C_929","Stromal cell"
"930","C_930","Stromal cell"
"931","C_931","Macrophage"
"932","C_932","Stromal cell"
"933","C_933","Macrophage"
"934","C_934","Macrophage"
"935","C_935","Macrophage"
"936","C_936","Stromal cell"
"937","C_937","Macrophage"
"938","C_938","Macrophage"
"939","C_939","Stromal cell"
"940","C_940","Macrophage"
"941","C_941","Macrophage"
"942","C_942","Macrophage"
"943","C_943","Stromal cell"
"944","C_944","Macrophage"
"945","C_945","Macrophage"
"946","C_946","Macrophage"
"947","C_947","Macrophage"
"948","C_948","Macrophage"
"949","C_949","Macrophage"
"950","C_950","Macrophage"
"951","C_951","Stromal cell"
"952","C_952","Stromal cell"
"953","C_953","Stromal cell"
"954","C_954","Macrophage"
"955","C_955","Stromal cell"
"956","C_956","Macrophage"
"957","C_957","Macrophage"
"958","C_958","Stromal cell"
"959","C_959","Macrophage"
"960","C_960","Stromal cell"
"961","C_961","Macrophage"
"962","C_962","Macrophage"
"963","C_963","Macrophage"
"964","C_964","Fibroblast"
"965","C_965","Stromal cell"
"966","C_966","Stromal cell"
"967","C_967","Macrophage"
"968","C_968","Stromal cell"
"969","C_969","Macrophage"
"970","C_970","Stromal cell"
"971","C_971","Stromal cell"
"972","C_972","Stromal cell"
"973","C_973","Stromal cell"
"974","C_974","Macrophage"
"975","C_975","Stromal cell"
"976","C_976","Macrophage"
"977","C_977","Mast cell"
"978","C_978","Stromal cell"
"979","C_979","Macrophage"
"980","C_980","Macrophage"
"981","C_981","Macrophage"
"982","C_982","Macrophage"
"983","C_983","Macrophage"
